Title,Event Type,Date,Time,City,Organization,Rating,Volunteers Engaged,Min Duration,Max Duration,Duration String
KDSP Carnival 2024 – A Celebration of Unity and Joy,"Events, Conferences",Jan 22 2024 - Jan 28 2024,3:00 PM - 9:00 PM,Karachi,Karachi Down Syndrome Program,3,19,9,20,9 - 20 hours
Learning ka Wheel: From Education for All to Learning for All,"Teaching, Workshops",Jan 26 2024 - Jan 27 2024,10:00 AM - 3:00 PM,Lahore,Milkar,3,2,9,15,9 - 15 hours
Akhuwat Winter Clothes Drive Karachi January 2024,Community Service,Jan 17 2024 - Jan 27 2024,7:00 PM - 7:00 PM,Karachi,Akhuwat Foundation,3,19,8,17,8 - 17 hours
AWT Dastarkhwan Januray 2024,"Events, Conferences",Jan 27 2024 - Jan 27 2024,4:30 PM - 6:30 PM,Lahore,ALLAH Walay Trust,3,17,5,16,5 - 16 hours
Karachi Beach Cleaning Drive January 2024,Community Service,Jan 18 2024 - Jan 27 2024,9:00 AM - 2:00 PM,Karachi,Milkar,5,4,3,19,3 - 19 hours
Transforming Lives Through Education Fundraising Dinner,Social Responsibility,Jan 23 2024 - Jan 23 2024,7:00 PM - 10:00 PM,Lahore,Green Crescent Trust,3,2,2,17,2 - 17 hours
Volunteer Flagship Training Program Batch 16,Community Service,Jan 10 2024 - Jan 19 2024,3:00 PM - 6:00 PM,Lahore,Pakistan Citizens Alliance,4,15,5,15,5 - 15 hours
Spreading Smiles with Children,"Teaching, Workshops",Jan 12 2024 - Jan 12 2024,11:00 AM - 2:00 PM,Lahore,Milkar,4,5,9,16,9 - 16 hours
A Transformative Journey in Social and Emotional Learning,Social Responsibility,Jan 07 2024 - Jan 07 2024,7:00 PM - 9:00 PM,,Milkar,3,9,5,19,5 - 19 hours
Volunteer Flagship Training Program Batch 15,Community Service,Dec 26 2023 - Jan 03 2024,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,3,5,5,18,5 - 18 hours
Akhuwat Winter Clothes Drive 2023,Community Service,Oct 23 2023 - Dec 31 2023,7:00 PM - 7:00 PM,Lahore,Akhuwat Foundation,3,1,1,14,1 - 14 hours
Akhuwat Clothes Drive 2023,Community Service,May 31 2023 - Dec 31 2023,9:00 AM - 3:00 PM,Lahore,Akhuwat Foundation,5,5,10,16,10 - 16 hours
Blood Donation Drive,Social Responsibility,May 02 2023 - Dec 31 2023,9:00 AM - 5:00 PM,Lahore,Sundas foundation,4,5,3,13,3 - 13 hours
Karachi Beach Cleanliness Drive,Community Service,Dec 21 2023 - Dec 24 2023,9:00 AM - 9:00 PM,Karachi,Milkar,5,17,2,16,2 - 16 hours
Call for Volunteers,Community Service,Dec 23 2023 - Dec 23 2023,8:30 AM - 4:00 PM,Karachi,Green Crescent Trust,5,5,3,14,3 - 14 hours
SMIU X Milkar-Akhuwat Winter Clothes Drive 2023,Community Service,Dec 22 2023 - Dec 22 2023,9:00 AM - 5:00 PM,Karachi,Sindh Madressatul Islam University Karachi,5,19,9,12,9 - 12 hours
Alkhidmat Youth Gathering 8.0,Social Responsibility,Dec 12 2023 - Dec 16 2023,8:00 AM - 6:00 PM,Lahore,Alkhidmat Foundation Pakistan,3,4,9,18,9 - 18 hours
Bano Qabil Lahore Volunteers,Community Service,Dec 09 2023 - Dec 11 2023,9:00 AM - 10:00 PM,Lahore,Alkhidmat Foundation Pakistan,5,13,10,18,10 - 18 hours
Winter Clothing Collection Drive,Community Service,Nov 27 2023 - Nov 28 2023,10:00 AM - 8:00 PM,Peshawar,Sarhad University of Science and Information Technology Peshawar,4,3,6,11,6 - 11 hours
Volunteer Development Program Batch 13,Community Service,Nov 20 2023 - Nov 28 2023,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,3,16,5,15,5 - 15 hours
Volunteer Development Program Batch 12,Community Service,Oct 30 2023 - Nov 07 2023,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,5,9,6,12,6 - 12 hours
Karachi Beach Cleaning Drive 2023,Community Service,Oct 28 2023 - Oct 28 2023,3:00 PM - 6:00 PM,Karachi,Milkar,5,4,1,18,1 - 18 hours
Mega Plantation Drive 2023,Community Service,Oct 13 2023 - Oct 21 2023,2:00 PM - 5:00 PM,Lahore,Milkar,3,5,2,16,2 - 16 hours
Volunteer Development Program Batch 11,Community Service,Oct 09 2023 - Oct 18 2023,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,5,20,2,16,2 - 16 hours
Volunteers registration Campaign,Community Service,Sep 15 2023 - Oct 15 2023,9:00 AM - 5:00 PM,,Musharaf Iqbal Foundation,4,5,6,16,6 - 16 hours
Flood affected areas need Pera medical staff for camping,Social Responsibility,Aug 31 2023 - Oct 01 2023,12:36 PM - 11:23 PM,Okara,Abdul Basit,2,10,10,14,10 - 14 hours
Mega Plantation Drive 3rd Phase,Community Service,Jul 22 2023 - Sep 30 2023,4:00 PM - 7:00 PM,Lahore,Alkhidmat Foundation Pakistan,4,12,5,13,5 - 13 hours
AWT Dastarkhawan September 2023,Community Service,Sep 30 2023 - Sep 30 2023,6:30 PM - 7:30 PM,Lahore,ALLAH Walay Trust,4,1,1,20,1 - 20 hours
Volunteer Development Program Batch 10,Community Service,Sep 18 2023 - Sep 26 2023,3:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,4,2,10,19,10 - 19 hours
BUITEMS Bird Feeding Drive Summer 2023,Community Service,Aug 11 2023 - Sep 01 2023,10:13 AM - 12:13 AM,Quetta,BUITEMS,4,6,5,17,5 - 17 hours
Bano Qabil,"Events, Conferences",Aug 19 2023 - Aug 31 2023,9:00 AM - 5:00 PM,Lahore,Alkhidmat Foundation Pakistan,5,15,2,18,2 - 18 hours
EcoGrow: Nurture - Nature Crafters,Community Service,Aug 24 2023 - Aug 28 2023,9:00 AM - 5:00 PM,Lahore,Milkar,4,15,9,18,9 - 18 hours
Project Life line,"Teaching, Workshops",Aug 23 2023 - Aug 26 2023,2:00 PM - 4:00 PM,Lahore,Milkar,3,8,6,18,6 - 18 hours
T.S.P Spokes-Persons,"Teaching, Workshops",May 05 2023 - Aug 24 2023,9:30 AM - 8:00 PM,,Tehreek Shaoor Pakistan,4,7,2,20,2 - 20 hours
Education Revolution App,Community Service,May 21 2023 - Aug 24 2023,5:00 AM - 8:00 AM,,Tehreek Shaoor Pakistan,4,9,9,13,9 - 13 hours
Bird Feeding Campaign 2023,"Teaching, Workshops",Jun 12 2023 - Aug 20 2023,9:00 AM - 6:00 PM,Lahore,Milkar,5,6,10,14,10 - 14 hours
BUITEMS Ramadan Dastarkhwan 2023,"Teaching, Workshops",Apr 20 2023 - Aug 12 2023,6:00 PM - 7:30 PM,Quetta,BUITEMS,5,4,10,12,10 - 12 hours
Milkar Pakistan Internship Program,"Events, Conferences",Jun 23 2023 - Aug 09 2023,9:00 AM - 6:00 PM,Lahore,Milkar,4,15,2,14,2 - 14 hours
Project Markaz,Social Responsibility,Aug 05 2023 - Aug 06 2023,2:00 PM - 6:00 PM,Lahore,Milkar,3,5,4,13,4 - 13 hours
Volunteer Development Program Batch 8,Community Service,Jul 24 2023 - Aug 02 2023,2:00 AM - 5:00 AM,Lahore,Pakistan Citizens Alliance,5,3,6,13,6 - 13 hours
Bird Feeding Campaign 2023,"Events, Conferences",Jun 06 2023 - Jul 31 2023,9:00 AM - 6:00 PM,Lahore,ALLAH Walay Trust,4,5,10,15,10 - 15 hours
Online Prompt Master Workshop,"Teaching, Workshops",Jul 07 2023 - Jul 31 2023,6:09 AM - 6:09 PM,,Recapeo Limited,4,13,10,20,10 - 20 hours
Educate A Child,Social Responsibility,May 13 2023 - Jul 31 2023,9:00 AM - 5:00 PM,Lahore,The Citizens Foundation,3,5,8,11,8 - 11 hours
Share Your Experience Campaign,Community Service,Jul 05 2023 - Jul 31 2023,5:49 PM - 12:00 AM,,Recapeo Limited,5,5,6,14,6 - 14 hours
STEAM Science Mela,"Teaching, Workshops",May 29 2023 - May 30 2023,8:30 AM - 2:00 PM,Islamabad,Science Fuse,2,7,7,15,7 - 15 hours
UMT CSP Advocate 2023,Community Service,Apr 12 2023 - May 29 2023,9:00 AM - 5:00 PM,Lahore,University of Management & Technology,4,16,6,14,6 - 14 hours
"MilKar & AWT Dastarkhwan Visit & Serve People"" May 2023""","Events, Conferences",May 10 2023 - May 27 2023,6:00 PM - 8:00 PM,Lahore,ALLAH Walay Trust,4,18,4,20,4 - 20 hours
UMT Plantation Drive,Community Service,Apr 12 2023 - May 27 2023,9:00 AM - 5:00 PM,Lahore,University of Management & Technology,4,3,10,20,10 - 20 hours
Youm-e-Takreem Shuhada-e-Pakistan,Community Service,May 25 2023 - May 25 2023,10:00 AM - 12:00 PM,Mardan,"University of Engineering & Technology (UET), Mardan",4,15,6,15,6 - 15 hours
2 Week Facebook & Instagram shop course,Community Service,May 05 2023 - May 20 2023,8:00 PM - 10:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,5,5,5,12,5 - 12 hours
Akhuwat Fellowship Program 2023,Community Service,May 08 2023 - May 15 2023,9:00 AM - 5:00 PM,Lahore,Akhuwat Foundation,4,10,6,19,6 - 19 hours
Shaoor Society Campus Head,Social Responsibility,Feb 26 2023 - May 15 2023,8:37 PM - 11:37 PM,,Tehreek Shaoor Pakistan,5,4,4,16,4 - 16 hours
Dastarkhawan Drive 2023,Community Service,May 08 2023 - May 15 2023,9:00 AM - 5:00 PM,Khairpur,Shah Abdul Latif University Khairpur,4,19,6,17,6 - 17 hours
University of Haripur Dastarkhawan Drive,Community Service,May 08 2023 - May 15 2023,9:00 AM - 5:00 PM,Haripur,UNIVERSITY OF HARIPUR,5,17,7,16,7 - 16 hours
BZU DastarKhawan Drive,Community Service,May 08 2023 - May 15 2023,9:00 AM - 5:00 PM,Multan,Bahauddin Zakariya University,5,2,4,13,4 - 13 hours
Dinner with Disabled Kids (Ramzan Activity),"Teaching, Workshops",May 08 2023 - May 08 2023,6:00 PM - 8:00 PM,Lahore,University of Central Punjab,4,15,8,13,8 - 13 hours
T.S.P Spokes-Persons,Community Service,Mar 30 2023 - Apr 30 2023,8:37 AM - 9:37 AM,,Tehreek Shaoor Pakistan,5,19,7,12,7 - 12 hours
Web Development & Digital Media Volunteer Required,Community Service,Mar 20 2023 - Apr 30 2023,1:05 AM - 2:06 AM,,Tehreek Shaoor Pakistan,5,5,8,11,8 - 11 hours
Donate for Education Revolution,Community Service,Mar 28 2023 - Apr 28 2023,12:46 PM - 2:46 PM,,Tehreek Shaoor Pakistan,4,6,5,17,5 - 17 hours
LCWUxMilkar End Hunger Ration Drive,Community Service,Apr 27 2023 - Apr 28 2023,9:00 AM - 2:00 PM,Lahore,Lahore College for Women University,4,1,7,20,7 - 20 hours
Social Media Campaign for Education Revolution,Social Responsibility,Feb 14 2023 - Apr 28 2023,2:47 PM - 5:47 PM,,Tehreek Shaoor Pakistan,3,10,3,18,3 - 18 hours
Sharing the Blessings of Ramadan: An Iftar Campaign for Orphans,"Teaching, Workshops",Mar 24 2023 - Apr 24 2023,3:13 PM - 11:23 PM,Bagh,Laiba niaz,1,13,3,19,3 - 19 hours
PCA Ration Drive,Community Service,Mar 23 2023 - Apr 24 2023,9:00 AM - 5:00 PM,Lahore,Pakistan Citizens Alliance,3,9,10,13,10 - 13 hours
Sundas Foundation,"Teaching, Workshops",Mar 27 2023 - Apr 23 2023,12:00 AM - 12:00 PM,Lahore,Sundas foundation,5,16,1,12,1 - 12 hours
Million Smile Ramadan Drive,Community Service,Mar 23 2023 - Apr 23 2023,9:00 AM - 5:00 PM,Lahore,Million Smiles Foundation,5,20,6,12,6 - 12 hours
"Zakat,Sadkat,Donation for Education",Social Responsibility,Feb 23 2023 - Apr 23 2023,11:07 PM - 10:07 PM,,Tehreek Shaoor Pakistan,5,19,5,11,5 - 11 hours
Alkhidmat Asaan Iftar,"Events, Conferences",Mar 28 2023 - Apr 23 2023,6:00 PM - 7:00 PM,Lahore,Alkhidmat Foundation Pakistan,3,15,9,19,9 - 19 hours
Ramadan Ration Drive Volunteer 2023,Community Service,Mar 15 2023 - Apr 23 2023,12:00 AM - 7:00 PM,Lahore,Waduha Welfare Organization,4,5,6,20,6 - 20 hours
Al Khidmat Youth Club Ration Packaging Drive,Community Service,Mar 28 2023 - Apr 21 2023,9:00 AM - 5:00 PM,Lahore,Alkhidmat Volunteers Club Lahore,4,7,1,11,1 - 11 hours
Ramadan Drive '23,Community Service,Mar 23 2023 - Apr 21 2023,4:12 PM - 8:12 PM,Burewala,Humans Of Burewala,5,4,6,16,6 - 16 hours
Ramzan food drive,Community Service,Mar 21 2023 - Apr 21 2023,1:05 AM - 11:23 PM,Mardan,Syed Najmul Hassan Gillani,4,8,5,12,5 - 12 hours
SOS Villages Zakaat Collection Drive,Community Service,Mar 20 2023 - Apr 20 2023,9:00 AM - 5:00 PM,Lahore,SOS Childrens Villages Pakistan,5,5,2,19,2 - 19 hours
SMIU X Milkar Dstarkhwan Drive 2023,Community Service,Apr 19 2023 - Apr 20 2023,8:00 AM - 6:00 PM,Karachi,Sindh Madressatul Islam University Karachi,5,9,4,17,4 - 17 hours
AWKUM x MilKar Dartarkhwan Drive 2023,Community Service,Apr 17 2023 - Apr 20 2023,4:00 PM - 6:30 PM,Mardan,Abdul Wali Khan University Mardan Campus,5,17,6,20,6 - 20 hours
Taleem sa badlay Zindagi ( Zaakat Collection Drive),Community Service,Mar 20 2023 - Apr 20 2023,9:00 AM - 5:00 PM,Karachi,The Citizens Foundation,4,9,4,17,4 - 17 hours
Ramzan Food Drive,Community Service,Mar 31 2023 - Apr 20 2023,9:00 AM - 4:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,3,14,9,20,9 - 20 hours
SUIT x MilKar Dartarkhwan Drive 2023,Community Service,Apr 17 2023 - Apr 17 2023,4:00 PM - 8:00 PM,Peshawar,Sarhad University of Science and Information Technology Peshawar,5,4,4,11,4 - 11 hours
Grammer Crash course 2 weeks,Social Responsibility,Apr 04 2023 - Apr 16 2023,11:00 AM - 12:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,5,19,1,16,1 - 16 hours
Milkar Plantation Drive,Community Service,Mar 31 2023 - Apr 15 2023,8:32 PM - 2:32 PM,Multan,Bahauddin Zakariya University,3,20,6,14,6 - 14 hours
women international day,Social Responsibility,Mar 07 2023 - Apr 08 2023,11:45 PM - 11:23 PM,Mardan,Syed Najmul Hassan Gillani,5,17,1,18,1 - 18 hours
Mehran University - Milkar Plantation Drive 2023,Community Service,Mar 31 2023 - Apr 08 2023,10:00 AM - 2:00 PM,Jamshoro,Mehran University of Engineering and Technology,3,13,6,19,6 - 19 hours
Greenwich University MilKar Plantation Drive 2023,Community Service,Mar 31 2023 - Apr 06 2023,11:00 AM - 1:00 PM,Karachi,Greenwich University,3,17,5,11,5 - 11 hours
LCWU Plantation Drive 2023,Community Service,Mar 31 2023 - Apr 05 2023,9:00 AM - 3:00 PM,Lahore,Lahore College for Women University,4,16,9,20,9 - 20 hours
"Kashmir day (5 Feb,2023)","Teaching, Workshops",Mar 04 2023 - Apr 04 2023,12:31 PM - 11:23 PM,Mardan,Syed Najmul Hassan Gillani,3,17,1,17,1 - 17 hours
Women international Day,Community Service,Apr 04 2023 - Apr 04 2023,11:00 AM - 2:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,3,2,9,16,9 - 16 hours
Grammer Crash course,Community Service,Mar 04 2023 - Apr 04 2023,3:46 PM - 11:23 PM,Mardan,Syed Najmul Hassan Gillani,4,5,6,11,6 - 11 hours
AI and Job Market Ethics ( 2nd march 2023),"Events, Conferences",Apr 04 2023 - Apr 04 2023,11:00 AM - 11:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,4,6,4,13,4 - 13 hours
AI and Job Market Ethics ( 2nd march 2023),"Teaching, Workshops",Mar 04 2023 - Apr 04 2023,3:13 PM - 11:23 PM,Mardan,Syed Najmul Hassan Gillani,3,6,1,20,1 - 20 hours
Study circle about shot story “The Gift of Magi” (23 Feb 2023),Community Service,Mar 04 2023 - Apr 04 2023,2:42 PM - 11:23 PM,Mardan,Syed Najmul Hassan Gillani,5,14,5,19,5 - 19 hours
Mother language Day 21 Feb 2023,Social Responsibility,Mar 04 2023 - Apr 04 2023,2:39 PM - 11:23 PM,Mardan,Syed Najmul Hassan Gillani,4,3,10,16,10 - 16 hours
BUITEMS MilKar Plantation Drive 2023,Community Service,Apr 04 2023 - Apr 04 2023,10:00 AM - 2:00 PM,Quetta,BUITEMS,4,3,4,12,4 - 12 hours
Awareness campaign “Hugs is better then Drugs,"Teaching, Workshops",Mar 04 2023 - Apr 04 2023,12:38 PM - 11:23 PM,Mardan,Syed Najmul Hassan Gillani,5,6,4,19,4 - 19 hours
A role of students to developing the peaceful environment,"Events, Conferences",Mar 04 2023 - Apr 04 2023,2:18 PM - 11:23 PM,Mardan,Syed Najmul Hassan Gillani,5,4,1,16,1 - 16 hours
cleanliness drive,Community Service,Mar 04 2023 - Apr 04 2023,12:22 PM - 11:23 PM,Mardan,Syed Najmul Hassan Gillani,4,4,5,13,5 - 13 hours
"ANDAZ E BAYAAN (17 Feb,2023)",Social Responsibility,Mar 04 2023 - Apr 04 2023,2:22 PM - 11:23 PM,Mardan,Syed Najmul Hassan Gillani,3,15,8,14,8 - 14 hours
"peace cricket tournament awkum ( 27,28,1) Feb- March","Events, Conferences",Apr 03 2023 - Apr 03 2023,9:00 AM - 2:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,3,4,8,12,8 - 12 hours
Mother language Day 21 Feb 2023,"Teaching, Workshops",Apr 03 2023 - Apr 03 2023,11:00 AM - 1:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,4,5,9,11,9 - 11 hours
Personality Development (20 February 2023),Social Responsibility,Apr 03 2023 - Apr 03 2023,10:00 AM - 12:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,4,6,1,13,1 - 13 hours
Cleanliness Drive,Community Service,Apr 02 2023 - Apr 02 2023,10:00 AM - 3:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,4,17,10,17,10 - 17 hours
"ANDAZ E BAYAAN (17 Feb,2023)",Social Responsibility,Apr 02 2023 - Apr 02 2023,11:00 PM - 1:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,3,19,9,11,9 - 11 hours
Kashmir Day,"Teaching, Workshops",Apr 02 2023 - Apr 02 2023,1:00 AM - 2:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,3,3,6,19,6 - 19 hours
Awareness campaign “Hugs is better then Drugs,Community Service,Apr 02 2023 - Apr 02 2023,11:00 AM - 2:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,4,15,3,13,3 - 13 hours
"Live What You Believe ( National women Day On 12th Feb,2023)","Events, Conferences",Apr 02 2023 - Apr 02 2023,12:00 PM - 2:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,5,19,2,16,2 - 16 hours
A role of students to developing the peaceful environment,"Teaching, Workshops",Apr 02 2023 - Apr 02 2023,10:00 AM - 12:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,5,17,1,20,1 - 20 hours
Study circle about shot story “The Gift of Magi” (23 Feb 2023),Social Responsibility,Apr 02 2023 - Apr 02 2023,10:00 PM - 2:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,3,5,4,17,4 - 17 hours
Planation drive,Community Service,Mar 31 2023 - Apr 01 2023,9:00 AM - 4:00 PM,Mardan,Abdul Wali Khan University Mardan Campus,4,15,1,15,1 - 15 hours
Fundraising and Donation,Social Responsibility,Mar 07 2023 - Mar 31 2023,9:00 AM - 5:00 PM,,Alkhidmat Foundation Pakistan,5,6,4,15,4 - 15 hours
Zakat Donation,Social Responsibility,Mar 07 2023 - Mar 31 2023,9:00 AM - 5:00 PM,,Baithak School Network,5,4,9,12,9 - 12 hours
Kohsar University Murree Plantation Drive 2023,Community Service,Mar 31 2023 - Mar 31 2023,10:00 AM - 1:00 AM,Rawalpindi,Kohsar University,4,1,3,14,3 - 14 hours
Institute of Space Technology MilKar Plantation Drive 2023,Community Service,Mar 31 2023 - Mar 31 2023,8:00 AM - 3:00 PM,Islamabad,Institute of Space Technology,3,11,3,14,3 - 14 hours
Little bit effort,"Events, Conferences",Mar 30 2023 - Mar 31 2023,1:00 PM - 6:30 PM,Larkana,SZABIST Larkana,1,16,9,15,9 - 15 hours
Sindh Madressatul islam University MilKar Plantation Drive 2023,Community Service,Mar 30 2023 - Mar 31 2023,8:58 AM - 3:00 PM,Karachi,Sindh Madressatul Islam University Karachi,5,12,6,13,6 - 13 hours
Plantation drive 2023,Community Service,Mar 29 2023 - Mar 31 2023,9:00 AM - 2:00 PM,Malakand,University of Malakand,4,12,3,16,3 - 16 hours
Nahfidu Volunteer Drive,Community Service,Mar 08 2023 - Mar 31 2023,9:00 AM - 5:00 PM,Lahore,Nahfidu Forum,3,17,9,19,9 - 19 hours
UETM Plantation Drive,Community Service,Mar 23 2023 - Mar 30 2023,7:00 AM - 10:00 AM,Mardan,"University of Engineering & Technology (UET), Mardan",5,9,4,20,4 - 20 hours
WUAJK Bagh Plantation Drive 2023,Community Service,Mar 30 2023 - Mar 30 2023,10:00 AM - 3:00 PM,Bagh,Women University of Azad Jammu and Kashmir Bagh,4,8,8,13,8 - 13 hours
Tree Plantation Activity at SUIT Pesh,Community Service,Mar 29 2023 - Mar 30 2023,12:00 PM - 4:00 PM,Peshawar,Sarhad University of Science and Information Technology Peshawar,5,5,1,11,1 - 11 hours
AWT SHER & IFTAAR,Community Service,Mar 23 2023 - Mar 23 2023,6:00 PM - 7:00 PM,Lahore,ALLAH Walay Trust,5,7,10,12,10 - 12 hours
Volunteer Development Program,Community Service,Feb 26 2023 - Mar 19 2023,2:00 PM - 5:00 PM,Lahore,Pakistan Citizens Alliance,4,8,2,15,2 - 15 hours
Education Revolution Google Meeting,"Events, Conferences",Feb 14 2023 - Mar 14 2023,1:09 AM - 10:00 PM,,Tehreek Shaoor Pakistan,5,13,6,17,6 - 17 hours
OUR IDENTITY & RESPONSIBILITIES AS A MUSLIM,"Events, Conferences",Mar 08 2023 - Mar 08 2023,12:30 PM - 3:50 PM,Mardan,"University of Engineering & Technology (UET), Mardan",5,4,9,12,9 - 12 hours
COMPASS 2023,"Teaching, Workshops",Mar 02 2023 - Mar 05 2023,7:00 AM - 7:00 PM,Kasur,Youth Impact,5,16,10,18,10 - 18 hours
Saves Lives in Turkiye & Syria | Earthquake Donation Appeal,Social Responsibility,Feb 08 2023 - Feb 28 2023,3:00 PM - 3:00 PM,Lahore,Alkhidmat Foundation Pakistan,4,6,2,13,2 - 13 hours
Uniform Gifts for Rajanpur,Community Service,Nov 29 2022 - Feb 26 2023,6:27 AM - 8:29 PM,,Tehreek Shaoor Pakistan,3,8,8,18,8 - 18 hours
Synchronizing Sympathies – Efforts to Fight Flood Disasters,"Teaching, Workshops",Nov 25 2022 - Feb 25 2023,9:58 AM - 9:58 AM,Islamabad,National University of Medical Sciences,1,5,1,20,1 - 20 hours
"MilKar & AWT Dastarkhwan Visit & Serve People"" February 2023""","Events, Conferences",Feb 25 2023 - Feb 25 2023,6:00 PM - 7:00 PM,Lahore,ALLAH Walay Trust,3,17,5,18,5 - 18 hours
Relief Assistance For Earthquake Affecties in Türkiye and Syria,"Events, Conferences",Feb 20 2023 - Feb 22 2023,8:00 AM - 4:00 AM,Mardan,"University of Engineering & Technology (UET), Mardan",4,11,8,11,8 - 11 hours
FCCU JOB FAIR 2023,"Events, Conferences",Feb 20 2023 - Feb 20 2023,10:00 AM - 5:00 PM,Lahore,Milkar,5,10,1,11,1 - 11 hours
"Earth Hour Photography Contest | People First""""",Community Service,Feb 08 2023 - Feb 17 2023,4:00 PM - 12:00 PM,,World Wide Fund for Nature Pakistan,5,8,10,11,10 - 11 hours
Anti ICE Campaign,Social Responsibility,Feb 16 2023 - Feb 16 2023,11:00 AM - 6:00 PM,Mardan,"University of Engineering & Technology (UET), Mardan",3,18,7,19,7 - 19 hours
Towards a Brighter Future - In the Memory of Late S.M. Muneer Fundraiser,Social Responsibility,Feb 12 2023 - Feb 12 2023,8:00 PM - 10:00 PM,Lahore,Green Crescent Trust,5,8,4,15,4 - 15 hours
Kashmir Solidarity Day ( یوم یکجہتی کشمیر ),"Teaching, Workshops",Feb 05 2023 - Feb 06 2023,9:00 AM - 12:00 PM,Mardan,"University of Engineering & Technology (UET), Mardan",3,9,3,18,3 - 18 hours
Alkhidmat Winter Clothes Collection Drive,Community Service,Jan 12 2023 - Jan 31 2023,10:00 AM - 6:00 PM,Lahore,Alkhidmat Foundation Pakistan,4,4,9,13,9 - 13 hours
Akhuwat Winter Clothes Drive,Community Service,Jan 12 2023 - Jan 31 2023,10:00 AM - 6:00 PM,Lahore,Akhuwat Foundation,3,9,7,14,7 - 14 hours
"MilKar & AWT Dastarkhwan Visit & Serve People"" JANUARY 2023""","Events, Conferences",Jan 28 2023 - Jan 28 2023,5:00 PM - 6:30 PM,Lahore,ALLAH Walay Trust,3,2,4,15,4 - 15 hours
Volunteer Drive 2023,Community Service,Jan 16 2023 - Jan 22 2023,9:00 AM - 5:00 PM,Lahore,Million Smiles Foundation,5,15,6,17,6 - 17 hours
Call For Event Ambassador | Al Khidmat Youth Gathering 7.0,Social Responsibility,Jan 14 2023 - Jan 14 2023,9:30 AM - 5:30 PM,Lahore,Alkhidmat Foundation Pakistan,5,5,4,20,4 - 20 hours
Alkhidmat Youth Gathering,Social Responsibility,Jan 14 2023 - Jan 14 2023,9:30 AM - 5:30 PM,Lahore,Alkhidmat Foundation Pakistan,3,4,4,17,4 - 17 hours
Flood Donation Drive,Social Responsibility,Jan 09 2023 - Jan 13 2023,10:00 AM - 4:01 PM,Sanghar,COMSATS University Islamabad,2,3,7,20,7 - 20 hours
GYM Clean & Green Drive,Community Service,Jan 07 2023 - Jan 07 2023,10:00 AM - 3:00 PM,Mardan,"University of Engineering & Technology (UET), Mardan",3,11,5,19,5 - 19 hours
Akhuwat Fellowship Program 2022-Winter Cohort,Community Service,Dec 26 2022 - Jan 07 2023,9:00 AM - 5:00 PM,Lahore,Akhuwat Foundation,5,15,1,13,1 - 13 hours
Bahauddin Zakariya University Flood Relief Campaign,"Events, Conferences",Nov 22 2022 - Dec 31 2022,8:00 AM - 4:00 PM,Multan,Bahauddin Zakariya University,3,4,6,14,6 - 14 hours
The CSR Society NUML Flood Relief 2022,"Events, Conferences",Nov 25 2022 - Dec 31 2022,8:00 AM - 12:00 AM,Khairpur,National University of Modern Languages Islamabad,3,5,7,15,7 - 15 hours
IBADAT International University Islamabad Flood Campaign 2022,"Teaching, Workshops",Nov 25 2022 - Dec 31 2022,10:30 AM - 10:00 PM,Rajanpur,IBADAT International University Islamabad,4,16,4,16,4 - 16 hours
Akhuwat Winter Clothes Drive,Community Service,Nov 03 2022 - Dec 31 2022,9:00 AM - 11:59 PM,Lahore,Akhuwat Foundation,5,11,8,11,8 - 11 hours
FAST NUCES Chiniot-Faisalabad Campus Flood Campaign 2022,"Events, Conferences",Nov 25 2022 - Dec 31 2022,9:00 AM - 12:00 PM,Multan,FAST NUCES Chiniot Faisalabad Campus,1,5,9,13,9 - 13 hours
IQRA University Project Relief 2022 | Charity Cricket,Social Responsibility,Nov 25 2022 - Dec 31 2022,9:30 AM - 12:00 AM,Karachi,Iqra University,5,14,6,12,6 - 12 hours
Million Smiles Ambassador Drive 2022,Community Service,Oct 07 2022 - Dec 31 2022,1:00 PM - 1:00 PM,,Million Smiles Foundation,4,9,3,17,3 - 17 hours
IQRA University Project Relief 2022 | Charity Drive & Relief Trucks,Social Responsibility,Nov 25 2022 - Dec 31 2022,9:00 AM - 12:00 PM,Karachi,Iqra University,5,6,3,17,3 - 17 hours
